,Preferred_Qualifications
24,"• 자연어 처리(NLP) 및 머신러닝(ML) 분야에서의 최소 3-5년 이상의 실무 경험.
• 관련 분야의 석사 또는 박사 학위 소지자.
• 대규모 언어 모델(예: GPT, BERT 등) 연구 및 개발 경험.
• 적극적이고 진취적인 태도
• 최신 기술 동향에 대한 지속적인 학습 및 적용 의지"
25,"• AI 모델의 실서비스 적용 및 운영 경험
• 추천 시스템, 예측 모델 또는 자연어 처리(NLP) 프로젝트 경험
• 항공/여행 산업에 대한 이해 및 관심"
26,"ㆍ서비스 기획이 가능하신 분
ㆍ관련직종 5년이상 근무하신 분
ㆍ영상/이미지 처리가 가능하신 분
ㆍ정부과제 수행경험이 있으신분"
27,"•이전에 도전적인 성과를 주도적으로 이뤄나간 경험을 보유한 분
•스스로 업무 계획을 세분화하고 추진하는 역량을 보유한 분
•새로운 것을 빠르게 배울 수 있고, 실제로 빠르게 배워서 성과를 낸 경험이 있는 분
•MLflow, WandB, Neptune 관련 기술 및 경험이 있으신 분
•데이터의 통계적 분석과 모델 분석을 통한 insight가 있으신 분

현재 사용하는 기술/환경
• Pytorch, Python, Github, MLFlow, Opencv, AWS, GCP, Docker
• Notion, Slack, Jira"
28,"•이전에 도전적인 성과를 주도적으로 이뤄나간 경험을 보유한 분
•스스로 업무 계획을 세분화하고 추진하는 역량을 보유한 분
•새로운 것을 빠르게 배울 수 있고, 실제로 빠르게 배워서 성과를 낸 경험이 있는 분
•MLflow, WandB, Neptune 관련 기술 및 경험이 있으신 분
•데이터의 통계적 분석과 모델 분석을 통한 insight가 있으신 분

현재 사용하는 기술/환경
• Pytorch, Python, Github, MLFlow, Opencv, AWS, GCP, Docker
• Notion, Slack, Jira"
29,"• AWS, Azure, GCP 등 클라우드 플랫폼 경험
• ML 소프트웨어 제품화 경험
• MLOps 도구 및 프로세스에 대한 경험
• 버전 관리와 협업을 위한 Git/Github 경험
• 소프트웨어 컨테이너화 및 오케스트레이션을 위한 Docker/Docker Compose 경험
• 의료/헬스케어 데이터 관련 경험
• AI 관련 분야 논문 출판 기록 또는 학술적 성과"
30,"ㆍComputer vision 관련 AI 분야의 석사 혹은 박사
ㆍ논문
- 국제 논문 / Top tier AI conference ( CVPR, ICCV, AAAI 등 ) 출판 및 발표 경험
- 1 저자 / 발표 경험 우대
ㆍ최신 Open-Source 활용 능력
ㆍWhole slide image processing 경험
- 병리 image 기반 segmentation & detection & classification 경험 우대"
31,"• 개발 환경, 프로그래밍 언어에 제한 없이 다양한 환경 및 언어를 편하게 하실 수 있는 분
• 3D CAD 또는 그래픽스 관련 S/W 제품 개발 경험
• 딥러닝 활용 S/W 개발 경험
• 의료 데이터 처리 경험"
32,"[우대사항]
• 컴퓨터공학 또는 관련 분야 석/박사 학위 또는 이에 준하는 경력을 보유하신 분
• AI 관련 주요 학회 및 저널에 게재된 논문에 주요 저자로 참여한 경험이 있는 분
• AI를 활용하여 제품 개발 및 서비스 상용화 경험이 있는 분
• AI 관련 Competition에서 실적이 있는 분

[기술 스택]
Python
FastAPI
PyTorch
MMdetection
PostgreSQL
Linux
Docker
Anaconda
Git"
33,"• vTune 등의 profiler를 이용하여 소프트웨어 최적화를 해보신 분
• 컴퓨터 아키텍쳐 관련 지식이 풍부하신 분
• 딥러닝 모델 경량화 및 추론 가속화 기법에 관한 경험이 있으신 분
• 관련 학회 및 저널 게재 경력자
• 관련 전공 석사, 박사 학위 보유 시 경력 인정"
34,"• 이미지 or 신호 처리, 딥러닝 모델 최적화 (network compression, NAS) 경험
• Image enhancement 계열 (super resolution, inpainting, low light imaging 등)의 task 경험
• 관련 학회 및 저널 게재 경력자
• 관련 전공 석사, 박사 학위 보유 시 경력 인정
• 병역특례 지원 가능
- 산업기능요원, 전문연구요원 지원 가능하며, 이력서에 별도 표기하여 제출 부탁드립니다.
- (Ex: 산업기능요원 현역, 전문연구요원 편입 등)"
35,"• 딥러닝 개념을 알고 동작 커널 개념을 알고 구현해보신 분
• 딥러닝 프레임워크에서 operation 에 대한 지식을 갖추신 분
• 컴파일러 최적화에 관한 지식이 있으신 분
• 컴퓨터 아키텍쳐 관련 지식이 풍부하신 분
• Compiler 혹은 Interpreter 를 제작/연구해보신 경험이 있으신 분
• 병렬 프로그래밍 경험이 있으신 분
• 딥러닝 커널 최적화 관련 경험이 있으신 분
• 딥러닝 모델 경량화 기법에 관한 지식이 있으신 분
• 관련 학회 및 저널 게재 경력자
• 관련 전공 석사, 박사 학위 보유 시 경력 인정"
36,"• 스스로의 힘으로 높은 수준의 허들을 넘어 온 사람, 남들이 정해 놓은 선을 넘어 결과를 만들어 온 사람 (*)
• 특별한 우수성 입증 실적
• 특별히 노력해서 특별한 성과를 달성했던 자랑스러운 이력
• 세상을 혁신, 변화 시킨 경험 또는 습관

오해 없도록 주의
• 자기한테 편한 환경이 갖춰져야만 생산성이 올라간다고 생각하시는 분께 편한 환경을 제공해 드릴 수 없습니다. 아무 조건, 환경에서도 직접 헤쳐나가 실 수 있는 분께 최적 맞춤 환경을 제공하기 위해 최선의 노력을 합니다. (예: 일본 비자 발급 추진 중)
• 성과는 고객 만족, 영업에 도움된 성과만 인정합니다. 실무자 자기 만족한 일의 결과는 아무리 많아도 성과에 포함되지 않습니다.
• 살면서 동료들, 남들, 환경 때문에 자기 성과가 안 나왔다고 오해한다면, 초기 스타트업이랑 안 맞을 가능성이 큽니다. 최종 결과가 고객에 도달하기까지 추진력 있게 문제를 직접 해결 할 분만 채용합니다. 동료들도 적극적으로 돕고, 능력 발휘합니다.
• 처우 수준이 높아져야만 일을 잘 할 수 있다고 생각하시는 분들께 좋은 연봉을 드릴 수 없습니다. 최고의 성과를 내고 potential이 크고, 회사를 성장시킬 분들께 회사가 제공 가능한 모든 것을 최대한 제공합니다. (**)


아이디어 출처
* ""스스로의 힘으로 높은 수준의 허들을 넘어 온 사람, 남들이 정해 놓은 선을 넘어 결과를 만들어 온 사람"" - https://ko.antler.co/ 2024년 데모데이 행사
** ""용병 아닌 선교사를 채용하라"" - https://vimeo.com/731186065 , Jeff Bezos at Amazon"
37,"• 관련 분야(수학, 통계, 컴퓨터 공학 등) 석사 이상 전공자
• LLM Post-training을 위한 데이터 수집, 정제, 및 데이터 구축 경험
• Docker 수행 능력
• CVPR, ICCV, ECCV, NeurIPS, AAAI, IEEE, EMNLP 등 저널/학회 논문 저자 또는 참여"
38,"• 관련 분야(수학, 통계, 컴퓨터 공학 등) 석사 이상 전공자
• Document AI를 위한 데이터 수집, 정제, 및 데이터 구축 경험
• CVPR, ICCV, ECCV, NeurIPS, AAAI, IEEE, EMNLP 등 저널/학회 논문 저자 또는 참여"
39,"• AI framework/Platform을 통한 실제 서비스 개발/실무 경험이 있는 분
• Git을 활용한 코드 협업 경험이 있으신 분
• 팀원 및 타 분야의 실무자와 원활한 커뮤니케이션 및 의사결정이 가능하신 분
• Object detection, Segmentation 등 인지모델에 대한 관련 지식 혹은 업무 경험이 있는 분"
40,"• Point Cloud 데이터를 사용하는 인공지능 모델 개발 및 알고리즘 개발 경험자
• 3D Depth 센서 사용 경험 및 이를 활용한 개발 경험자
• 멀티 카메라 또는 멀티 센서 캘리브레이션 개발 경험자
• 비전 검사를 위한 알고리즘 개발 및 장비 운영 경험자"
41,"• 3D Gen-AI 관련 경험
• LLM(대규모 언어 모델) 활용 경험
• 연구 결과를 효과적으로 문서화하고 공유할 수 있는 능력
• 창의적인 접근을 통해 문제를 해결할 수 있는 분"
42,
43,"- 경량화 및 딥러닝 모델, 학습 개발 경험 및 논문 실적이 있으신 분
- 수학적 사고와 통계, 최적화 등 각종 수학 이론에 대한 이해가 높으신 분
- NPU 또는 GPU에 대한 이해도가 높으신 분"
44,"- 딥러닝 컴파일러(TVM, XLA 등)와 관련된 연구 경험을 가지신 분
- 2년 이상의 딥러닝 분야 연구 경력을 가지신 분, 또는 관련 분야 논문 실적이 있으신 분
- 임베디드 시스템 환경에서의 딥러닝 알고리즘 개발 경험을 가지신 분
- 딥러닝 컴파일러와 관련된 연구 및 개발 경험을 가지신 분
- 프로그래밍 언어(Python, C/C++ 등) 활용이 능숙하신 분"
45,"• AI 분야 논문 출판 경험
• 엘리스가 보유한 AI 챗봇과 같은 프로젝트 경험
• LLM의 개발 경험
• TTS, STT, 지식 트레이닝, Safe AI, 음성 인식/평가 등 다양한 AI 연구 또는 개발 경험
• 교육 분야에 대한 열정과 관심을 가진 분"
46,
47,"• 선형대수/통계학에 대한 기본 지식이 있는 자
• LiDAR / IR Camera 등의 센서를 다루어 본 자
• 컴퓨터비전/딥러닝/SLAM 등 관련 연구(논문)을 이해하고 구현이 가능한 자
• Top-tier 학회 논문 혹은 관련 박사 학위를 보유한 자
• ROS 시스템을 사용하여 멀티센서 수집 시스템을 구축해 본 경험이 있는 자
• 유창한 영어 회화 역량을 보유한 자
• Frontend/Backend 등 관련된 기술이 있는 자"
48,"**다음 중 하나 이상을 만족하시는 분**

- SLAM 관련 상용 제품 개발 경험 혹은 오픈소스에 핵심 기여 경험이 있는 분
- 자율주행 시스템 전반에 대해서 이해도가 높은 분
- X86 아키텍처 외의 환경에서의 개발 경험이 있는 분
- Docker 컨테이너에 대한 지식 및 사용 경험이 있는 분
- ROS, ROS2 사용 경험이 있는 분
- CUDA 프로그래밍 등 최적화 지식이나 경험이 있는 분
- LiDAR, Camera, IMU 등 다양한 센서를 사용한 경험이 있는 분
- 알려지지 않은 문제를 찾아서 해결하는 과정 전체를 주도적으로 이끌 수 있는 분"
49,"• 국제학술지,학술대회에 1저자로 논문 게재 경험이 있는 분"
50,"• 대규모 상용 ML(ex. CV, OCR, NLP, RecSys 등) 제품 개발 경험이 있으신 분
• 대규모 요청에 대한 아키텍처 설계 및 성능 튜닝 경험을 보유하신 분
• 대형 모델을 배포 및 유지 보수 해본 경험이 있으신 분"
51,"• Rust 개발 경험이 있으신 분
• 보안 솔루션 기업 혹은 네트워크 보안 기업 경력을 보유하신 분
• 머신러닝 데이터 분석 경험이 있으신 분
• 클라우드 환경에서 업무 경험이 있으신 분
• 컴퓨터 공학 및 유관학과 학사 이상의 학위를 소지하신 분"
52,"In addition, the following skills and experience would be an advantage, but we DO NOT expect that a successful candidate would have all of these:

• 1st author of paper(s) in top-tier Computer Vision ML/DL or Medical Imaging conferences or journals (e.g. CVPR/ICCV/ECCV, NeurIPS/ICLR/ICML, or MedIA/TMI/MICCAI).
• Experience in AI research done with real-world data, including your efforts in data collection, annotation, preprocessing, and management.
• Experience in neuroimaging data (sMRI, fMRI, PET) preprocessing and reconstruction with neuroimaging libraries, such as FreeSurfer, FSL, Nibabel.
• Familiarity with Git, Docker, AimStack, MLflow, or other software development practices and MLOps engineering.
• Experience in biostatistics and involvement in clinical trials."
53,"• 전문연구요원 지원 우대
• 관련 전공자(석사 이상) 우대
• AI 최적화, 경량화 유경험
• 딥러닝 최적화 (Tensor RT, CUDA, C++ 등)
• AI systems SW 개발 (UI 등)"
54,"- C++ 프로그래밍 스킬 보유
- AI Application 개발 경험"
55,"• 해당 분야 석사/박사 학위
• Deep Learning framework (PyTorch, TensorFlow, TensorRT 등) 에 대한 Contributor 수준의 구현 경험
• 의료영상 및 자율제어 관련 Deep Learning 연구 개발 경험
• 관련 분야 주요 학회 (ICCV, CVPR, ICLR, ICML, ECCV 등) 발표 및 주요 학술지 논문 게재 경험
• 관련 분야 대회 입상 경험"
56,• 인공지능 개발팀을 리딩할 수 있는 역량과 경험을 갖춘 분
57,"- LLVM, MLIR 프레임워크 연구/개발 유경험자
- CUDA 개발 유경험자
- Pytorch, Onnx, Tensor RT 유경험자
- 컴파일러 관련 과목 수강자
- 관련 전공자(석사 이상) 우대"
58,"• 컴퓨터 비전 관련 학회에 제1저자 혹은 교신저자로 논문 게재

• 문제를 찾고 해결하는 과정에서 성취감을 느끼시는 분

• 다양한 영상 또는 이미지에 대하여 딥러닝을 활용한 연구 경력

• unsupervised 또는 self / semi / weakly supervised 딥러닝 모델 개발을 할 수 있는 분"
59,"• 관련 학과 석사학위 이상
• AI 기술로 상용 서비스를 출시/운영 경험자
• 이미지 처리에 능숙하신 분"
60,"• Hugging Face, PyTorch 사용 경험이 있는 자를 가장 우대합니다.
• 대규모 데이터 처리 및 분석 경험이 있는 자를 우대합니다.
• 클라우드 플랫폼(AWS, Azure, GCP) 사용 경험이 있는 자를 우대합니다.
• AI 관련 프로젝트 관리 경험이 있는 자를 우대합니다.
• 자연어 처리 배경이 있으면 더 좋습니다."
61,"• 대규모 모델 학습을 위한 프레임워크 사용 경험 (e.g. DeepSpeed)
• LLM 기반 제품 개발 경험
• LLM Post-training을 위한 데이터 수집, 정제, 및 annotation 경험
• AI 및 NLP 관련 국제 학회에서 1저자 혹은 교신저자로 출판 기록
 > E.g. NeurIPS, ICML, ICLR, ACL, NAACL, EMNLP, AAAI, CVPR, ICCV, ECCV 등
• 국제 혹은 국내 AI 대회 (Kaggle 등) 상위권 입상
• 글로벌 고객 대응을 위한 영어 커뮤니케이션 능력"
62,"• DeepLearning·AI Data Training 경험자
• Linux(Ubuntu) 경험자
• C++ 활용 경험자
• 활용 라이브러리·프레임워크 ·언어 숙련자
• 인턴·정규직 경력 등 유사 직무 경험자
• 소프트웨어 계열 전공자
• 석·박사 학위 수여자
• 전문연구요원(병역특례)"
63,"**다음 중 하나 이상을 만족하시는 분**

• SLAM 관련 상용 제품 개발 경험 혹은 오픈소스에 핵심 기여 경험이 있는 분
• 자율주행 시스템 전반에 대해서 이해도가 높은 분
• X86 아키텍처 외의 환경에서의 개발 경험이 있는 분
• Docker 컨테이너에 대한 지식 및 사용 경험이 있는 분
• ROS, ROS2 사용 경험이 있는 분
• CUDA 프로그래밍 등 최적화 지식이나 경험이 있는 분
• LiDAR, Camera, IMU 등 다양한 센서를 사용한 경험이 있는 분
• 알려지지 않은 문제를 찾아서 해결하는 과정 전체를 주도적으로 이끌 수 있는 분"
64,"• 반도체 소자 데이터 관련 업무 경험
• 대규모 머신러닝 모델 개발 경험"
65,"• 대규모 상용 ML(CV, NLP 등) 제품 개발 경험
• 최고의 AI 컨퍼런스(e.g. NeurIPS, ICML, ICLR, AAAI, CVPR, ICCV, ECCV, ACL, EMNLP, KDD, etc)에서 1저자 혹은 교신저자로 출판 기록
• 국제 혹은 국내 AI 대회 (Kaggle 등) 상위권 입상
• 대규모 데이터로부터 AI 모델 학습 및 추론을 위한 data/model pipeline을 개발한 경험
• AI 관련 연구 또는 프로덕트 개발을 리딩한 경험
• 새로운 연구 혹은 개발 방향성을 제시할 수 있는 능력"
66,"• 관련분야 박사 학위자
• 생체신호 분석 관련 프로젝트 포트폴리오 보유자
• 관련 프로젝트 리드 경험자
• 수준급 저널 논문 게재 실적 보유자"
67,"• 반도체 소자 데이터 관련 업무 경험
• 대규모 머신러닝 모델 개발 경험"
68,"ㆍCuda 프로세싱 유 경험자
ㆍ머신비전 (이미지 프로세싱 관련) 유 경험자
ㆍC++ 최적화 가능자, C++ 최신 표준 사용 가능자 (17 or 20)"
69,"• AI 및 소프트웨어 개발 직무 경험
• 사내외 개발 문서, 매뉴얼, 기술 블로그 등의 제작 경험
• AI 교육과정 기획 및 운영 경험
• 개발자 커뮤니티 활동 경험
• 글로벌 교육 자료 제작을 위한 영어 커뮤니케이션 역량"
70,"• 전공 : 컴퓨터 공학 또는 인공지능 관련 학과
• 관련 분야의 석사, 박사 학위 취득자
• 의료영상 진단 AI 프로그램을 개발하여, 국내외 식약처 3등급 소프트웨어 의료기기 인증을 받은 경험자
• 의료영상 진단 AI 분야의 제품 개발 경험자
• 이미지 프로세싱 전문가
• 병역특례 (석사 이상 현역/보충역/전입자) 우대"
72,"ㆍGPU/NPU/TPU등 HW NN engine 기반 SDK/DL AI모델/알고리즘 관련 개발 경험
ㆍ차량용 반도체 HW/SW 개발 경험"
73,"• LLM Post-training을 위한 데이터 수집, 정제, 및 annotation 경험
• AI 및 NLP 관련 국제 학회에서 1저자 혹은 교신저자로 출판 기록
 (E.g. NeurIPS, ICML, ICLR, ACL, NAACL, EMNLP, AAAI, CVPR, ICCV, ECCV 등)
• 국제 혹은 국내 AI 대회 (Kaggle 등) 상위권 입상
• 글로벌 고객 대응을 위한 영어 커뮤니케이션 능력"
74,"• vTune 등의 profiler를 이용하여 소프트웨어 최적화를 해보신 분
• 컴퓨터 아키텍쳐 관련 지식이 풍부하신 분
• 딥러닝 모델 경량화 및 추론 가속화 기법에 관한 경험이 있으신 분
• 관련 학회 및 저널 게재 경력자
• 관련 전공 석사, 박사 학위 보유자 (경력 인정)"
75,"• Swift, Kotlin 개발 경험이 있으신 분
• objdump 등을 이용하여 library 분석하고 debugging 경험이 많으신 분
• 공동의 목표를 달성하기 위해 즐겁게 몰입하며 함께 성장할 수 있는 분
• 상호 존중과 협력을 실천하며 원할한 협업을 통해 시너지를 창출할 수 있는 분
• 주도적으로 역할을 확장하고, 전문 지식을 바탕으로 문제 해결에 앞장서는 분"
76,"• 컴퓨터/시스템 공학, 전기/전자공학, 수학/통계학 전공자
• 통계 분석 능숙자, 컴퓨터 활용 능력 우수"
77,"• 관련 분야(수학, 통계, 컴퓨터 공학 등) 석사 이상 전공자
• Document AI를 위한 데이터 수집, 정제, 및 데이터 구축 경험
• CVPR, ICCV, ECCV, NeurIPS, AAAI, IEEE, EMNLP 등 저널/학회 논문 저자 또는 참여"
78,"• 관련 분야(수학, 통계, 컴퓨터 공학 등) 석사 이상 전공자
• LLM Post-training을 위한 데이터 수집, 정제, 및 데이터 구축 경험
• Docker 수행 능력
• CVPR, ICCV, ECCV, NeurIPS, AAAI, IEEE, EMNLP 등 저널/학회 논문 저자 또는 참여"
79,"• 비디오 압축 혹은 영상 처리 관련 연구 수행 및 프로젝트 경험자
• 리눅스 환경에서 개발 가능"
80,"• 대규모 상용 ML(CV, NLP 등) 제품 개발 경험
• 최고의 AI 컨퍼런스(e.g. NeurIPS, ICML, ICLR, AAAI, CVPR, ICCV, ECCV, ACL, EMNLP, KDD, etc)에서 1저자 혹은 교신저자로 출판 기록
• 국제 혹은 국내 AI 대회 (Kaggle 등) 상위권 입상
• 대규모 데이터로부터 AI 모델 학습 및 추론을 위한 data/model pipeline을 개발한 경험
• AI 관련 연구 또는 프로덕트 개발을 리딩한 경험
• 새로운 연구 혹은 개발 방향성을 제시할 수 있는 능력"
81,"• 관련 분야 논문 보유자 (국제 학회 또는 SCI/SCIE 저널)  
• 특정 하드웨어 가속기(e.g., GPUs, TPUs, FPGAs)에 대한 DL/ML 최적화 경험
• Embedded 및 RTOS환경 구축 및 개발 경험
• C++(Modern C++ 포함) 개발 역량
• Agile 또는 ASPICE 프로젝트 경험"
82,"• 관련 분야 논문 보유자 (국제 학회 또는 SCI/SCIE 저널)  
• 영상처리 개발 역량
• ML(예: SVM, Random Forest) 개발 역량
• 영어회화 가능
• AI 개발 전주기 경험자"
83,"• 의료 영상, ML/DL 또는 컴퓨터 비전 컨퍼런스나 저널 논문 작성 유경험자
• 최신 의료 영상 및/또는 AI 연구 트렌드 탐색 및 적용 유경험자
• 의료 도메인 CT, MR 데이터세트의 2D/3D computer vision task 유경험자

[이런 분과 일하고 싶어요]
• 흥미와 열정을 가지고 주도적인 업무 수행
• 팀 내 액티브한 커뮤니케이션"
84,"• 관련 분야 논문 보유자 (국제 학회 또는 SCI/SCIE 저널)  
• 특정 하드웨어 가속기(e.g., GPUs, TPUs, FPGAs)에 대한 DL/ML 최적화 경험
• Embedded 및 RTOS환경 구축 및 개발 경험
• C++(Modern C++ 포함) 개발 역량
• Agile 또는 ASPICE 프로젝트 경험"
85,"• 비디오 압축 혹은 영상 처리 관련 연구 수행 및 프로젝트 경험자
• 리눅스 환경에서 개발 가능"
86,"• 측위기술 과제 경험, Embedded 시스템 구현 경험
• 머신러닝기반 알고리즘 개발 경험
• 자율주행 시스템의 전반적인 구조에 대한 이해
• SLAM, Kalman filter, 차량 동력학(Vehicle dynamics)에 대한 이해
• 실제 인식 센서 활용 경험
• 근무지(경기/대구) 선택 가능
 - 경기도 안양시 동안구 엘에스로116번길 118 안양2차 SKV1 926호
 - 대구광역시 동구 동대구로 465, 대구스케일업허브"
87,"• 관련 분야 논문 보유자 (국제 학회 또는 SCI/SCIE 저널)  
• 특정 하드웨어 가속기(e.g., GPUs, TPUs, FPGAs)에서 DL/ML 최적화 경험  
• 경량화를 위한 모델 서빙 프레임워크(e.g., TensorFlow Serving, ONNX Runtime)에서 개발 경험"
88,"• 관련 분야 논문 보유자 (국제 학회 또는 SCI/SCIE 저널)  
• 영상처리 개발 역량
• ML(예: SVM, Random Forest) 개발 역량
• 영어회화 가능
• AI 개발 전주기 경험자"
89,"• LLM 관련 분야 논문 보유자 (국제 학회 또는 SCI/SCIE 저널)  
• LLM 모델 적용 제품 개발 경험 보유자"
90,"• 관련 분야 논문 보유자 (국제 학회 또는 SCI/SCIE 저널)  
• 특정 하드웨어 가속기(e.g., GPUs, TPUs, FPGAs)에서 DL/ML 최적화 경험  
• 경량화를 위한 모델 서빙 프레임워크(e.g., TensorFlow Serving, ONNX Runtime)에서 개발 경험"
91,"• LLM 관련 분야 논문 보유자 (국제 학회 또는 SCI/SCIE 저널)  
• LLM 모델 적용 제품 개발 경험 보유자"
92,"• 딥러닝 개념을 알고 동작 커널 개념을 알고 구현해보신 분
• 딥러닝 프레임워크에서 operation에 대한 지식을 갖추신 분
• 컴퓨터 아키텍쳐 관련 지식이 풍부하신 분
• Compiler 혹은 Interpreter를 제작/연구해보신 경험이 있으신 분
• 병렬 프로그래밍 경험이 있으신 분
• 딥러닝 커널 최적화 관련 경험이 있으신 분
• 딥러닝 모델 경량화 기법에 관한 지식이 있으신 분
• 관련 학회 및 저널 게재 경력자
• 관련 전공 석사, 박사 학위 보유자 (경력 인정)"
93,"• AI framework/Platform을 통한 실제 서비스 개발/실무 경험이 있는 분
• Git을 활용한 코드 협업 경험이 있으신 분
• 팀원 및 타 분야의 실무자와 원활한 커뮤니케이션 및 의사결정이 가능하신 분
• Object detection, Segmentation 등 인지모델에 대한 관련 지식 혹은 업무 경험이 있는 분"
94,"• 이미지 or 신호 처리, 딥러닝 모델 최적화(network compression, NAS) 경험이 있으신 분
• Image enhancement 계열(super resolution, inpainting, low light imaging 등)의 task 경험이 있으신 분
• 관련 학회 및 저널 게재 경력자
• 관련 전공 석사, 박사 학위 보유자 (경력 인정)"
