,Main_task
14,"• 컴퓨터 비전 관련 연구 및 모델 개발
• 영상 처리 알고리즘 개발
• 관련 학회 논문 제출 및 특허 작성"
15,"• 특허 문서 수집(Crawling)
• 특허 DB 구축(SQL)
• 특허분석 모델 개발(OCR)
• 특허성 판단 모델 개발
• 특허회피 모델 개발



• 다양한 공개데이터 및 LLM을 활용한 연구지원 모델 개발"
16,"• 컴퓨터 비전 기반 무인매장(아마존 ""Grab and Go""와 유사)용, 컴퓨터 비전 딥러닝 모델
(Object Detection, Pose Estimation 등) 개발, 최적화, 상용화
• 사업 도메인에 특화된 문제를 해결하기 위한 특화된 모델 개발
• 딥러닝 모델 설계를 통한 성능/정확도 개선 및 튜닝을 통한 추론 효율성 증대
• 딥러닝 모델 경량화"
17,"• 프롬프트 최적화를 통한 AI 모델 성능 향상
• 다양한 사용 사례에 적합한 프롬프트 설계 및 테스트
• 최신 AI 트렌드 및 기술 연구"
18,"• 다국어/다감정/다화자/소용량 TTS 모델 개발 및 성능개선
• ONNX/TensorRT를 이용한 인퍼런스 고속화 엔진 개발"
19,"[인터엑스가 찾는 인재]

자신의 전문성을 바탕으로 꾸준히 학습하고 활용하면서 그 분야 고수로 인정받는 사람
이러한 능력을 바탕으로 미래의 새로운 가치를 만드는 사람
해당 분야에 최고의 지식과 경험을 가진 동시에 실제 가치를 만드는 사람
이런 능력을 다른 전문가들이 신뢰하는 수준으로 전달할 수 있는 사람
새로운 가치를 만들기 위해 몰입하고 협력하여 끝까지 완수해내는 사람


제출해주신 이력서와 포트폴리오를 기반으로 위의 인재상에 부합하는 부분을 인터뷰 시에 심도 깊게 확인할 예정입니다.

인터뷰 질문 또한 미리 공개드리오니 연구소 채용에 대한 안내 가이드의 많은 관심과 지원 부탁드립니다!

안내 가이드 링크: https://bit.ly/3YBzf9P""





[채용팀 Talk]

인터엑스에서 강화학습 및 시뮬레이션 전문가를 찾습니다!

인터엑스는 AI와 디지털 트랜스포메이션(DX)을 통해 제조 혁신을 선도하는 기업으로,

Digital Twin & Simulation 기술을 활용하여 제조업의 미래를 설계하고 있습니다.

""AI와 Robotics의 새로운 가능성을 열어보고 싶으신가요?""

가상 시뮬레이션 환경에서 최적의 Action Policy를 설계하고,

로봇과 설비가 자율적으로 동작할 수 있는 AI 솔루션 개발을 주도할 수 있는 분을 기다립니다.





[담당업무]

생성형 AI 모델을 사용하여 이미지/영상 합성 데이터 생성 (synthetic data generation)
로봇과 설비의 물리세계를 모사하는 시뮬레이션 모델 설계 (공간관계, 물리적 규칙)
로봇, 설비가 물리 세계를 인지, 이해, 추론하여 자율적으로 행동할 수 있도록 가상 시뮬레이션 환경에서 강화 학습을 이용하여 최적의 action policy 훈련
Digital Twin & Simulation 엔지니어, Robotics 엔지니어와 협업"
20,"• AI 모델링 및 개발
• 데이터 수집 및 전처리
• 모델 성능 평가 및 개선
• 관련 기술 조사 및 적용"
21,"• NPU Architecture 설계
• NPU Core HW RTL Coding, Verification"
22,"• Vision 관련 딥러닝 모델과 서비스의 운용을 위한 파이프라인 개발
• 솔루션 형태의 다양한 Vision AI 제품 개발 및 관리
• 카메라 하드웨어와 연동된 프로젝트 진행"
23,"• Analog/Digital 회로 설계(OPAMP, DAC, ADC)
• H/W 성능 및 시험 검증
• 개발단계 부품 발주 및 관리"
24,"• LLM 모델 커스터마이징을 위한 대규모 데이터 관리(전처리, 후처리)
• LLM 모델 학습 과정 및 결과에 대한 정량적 분석
• LLM 모델 서비스를 위한 프롬프트 엔지니어링 및 RAG 연구"
25,"• 대규모 데이터 처리 및 AI 모델 학습
• AI 기술을 활용한 서비스 자동화 및 비용절감
• 딥러닝, 머신러닝 알고리즘을 활용한 서비스 고도화"
26,"ㆍAP, GPS, 비콘 및 사내그룹웨어 데이터 기반 동선추적으로 자동 근태를 측정할 수 있는 AI프로세스 정립
ㆍ사고예방 시스템 AI학습을 위한 데이터 수집방법 및 Schema 정의
ㆍ위치기반 알림전송, 산업현장에서의 위험구역 자동설정 AI개발
ㆍAI 학습 모델 개발 및 개선
ㆍAI를 응용한 산업안전사고 예방 시나리오 생성
ㆍ정부과제작성 및 과제 운영 RCMS 예산집행"
27,"연구목표
• Stable diffusion 및 VITON 모델을 활용하여 사진 -＞ 내옷 복원, 내옷 -＞ 내가 입은 모습을 효과적으로 재현할 수 있는 기술 개발 (기존 모델 차용, 자체 모델링, 자체 학습 등 필요한 모든 것 수행)
• 실제 에이클로젯 서비스에 탑재하기 위한 시스템 기술 및 인프라 개발
• 최적화된 성능을 보장하기 위한 전후처리 기술 개발 및 이에 필요한 이미지/언어 딥러닝 모델 개발 및 도입
• ML 모델링에만 집중하지 않고, 데이터의 의미와 상태를 끊임없이 개선"
28,"연구목표
• Stable diffusion 및 VITON 모델을 활용하여 사진 -＞ 내옷 복원, 내옷 -＞ 내가 입은 모습을 효과적으로 재현할 수 있는 기술 개발 (기존 모델 차용, 자체 모델링, 자체 학습 등 필요한 모든 것 수행)
• 실제 에이클로젯 서비스에 탑재하기 위한 시스템 기술 및 인프라 개발
• 최적화된 성능을 보장하기 위한 전후처리 기술 개발 및 이에 필요한 이미지/언어 딥러닝 모델 개발 및 도입
• ML 모델링에만 집중하지 않고, 데이터의 의미와 상태를 끊임없이 개선"
29,"• 광범위한 의료 데이터를 기반으로 대규모 ML 모델을 설계, 학습, 튜닝 및 배포합니다.
• 최신 MLOps 프레임워크와 도구를 활용하여 production 환경에서의 모델 성능을 모니터링하고 개선합니다.
• 데이터 사이언티스트 및 의료 전문가와 협력하여 모델의 정확성과 효율성을 최적화하고 제품의 가치를 극대화합니다.
• 데이터 엔지니어와 긴밀히 협력하여 체계적이고 자동화된 ML 학습, 검증, 및 배포 프로세스를 구축합니다."
30,"ㆍ영상 기반 AI / ML 기법 개발
- WSI-classification
- Segmentation
- Detection
- Classification
• Deeplearning 학습
• 최신 기술 follow-up
• Algorithm 개발"
31,"• 수학적/기하학적 알고리즘 설계 및 구현
• 3D 모델링 및 시뮬레이션 알고리즘 개발
• 성능 최적화를 위한 효율적인 알고리즘 설계
• 다양한 CAD 시스템 요구 사항에 맞춰 모듈 및 기능 개발
• Dentbird Solutions 제품화 및 성능 개선, 최적화, 보안 강화 및 유지보수
• 요구 사항에 따른 기능 설계 및 구현
다양한 솔루션 모듈 개발 및 통합 작업 수행

[커리어비전]
• Web기반 3차원 렌더링 기술을 도입한 소프트웨어를 개발할 수 있게 됩니다.
• 인공지능 기능을 비롯하여 다양한 라이브러리를 개발 및 활용할 수 있게 됩니다.
• CAD 알고리즘을 로컬환경 뿐만아니라 웹환경에서의 개발도 가능하게 됩니다.
• Mesh 구조, 알고리즘을 설계 구현 가능하게 됩니다."
32,"[주요 업무]
• 문서 인식 분야 AI 모델 개발
• 최신 AI 기술 및 연구 동향 파악 및 도입
• 데이터 분석 및 모델 검증을 통한 성능 향상 및 최적화
• 컨테이너 관리 도구(Docker, Podman, Kubernetes 등)를 활용해 모델 학습 및 추론"
33,"• 에너자이의 추론 엔진 Optimium은 크게 ""Graph Level"", ""Kernel level"", ""Runtime level"" 로 구분됩니다.
• 해당 직군은 ""Graph Level""에서의 연구 개발을 맡아 수행하실 분을 찾고 있습니다. ""Graph Level""에서의 연구 개발은 아래 내용을 포함합니다.

• AI 추론 엔진 딥러닝 모델 최적화 알고리즘 개발
- 사내 자체 개발한 언어를 활용해 convolution, GEMM 등의 연산을 메모리 캐싱, vectorization 등을 고려해서 최적화되도록 구현
- Quantization operation을 포함한 Operation fusion 알고리즘 알고리즘 개발
- Reinforcement Learning, Dynamic programming 등을 활용하여 Optimium에서의 각종 최적화 문제를 풀고 연구 개발
- Multi-device allocation 문제
- Automatic mixed precision 알고리즘 개발
- Time complexity와 Performance를 고려한 Auto Tuning 알고리즘 개발
- LLM 최적화
- SLM 추론 최적화 연구
- AI 추론 엔진 소프트웨어 개발
- Kubernetes를 이용한 Multi-device 자원 관리
- Auto-Tuning 가속화를 위한 Database 구축"
34,"• Computer Vision 알고리즘 개발
-다양한 형태의 데이터 처리 (Radar, Smartphone Image, CCTV Image, Industrial Image 등)
- Vision 관련 task 수행 (super resolution, detection, inpainting, low lighting 등)
• 딥러닝 모델 경량화 알고리즘 개발
- 주어진 Task 와 Constraint를 고려한 딥러닝 모델 설계 및 경량화 알고리즘
개발 (Quantization, NAS 등)
- Edge Device 탑재될 경량화된 모델 개발"
35,"[공통]
AI compiler 개발
• Virtual Machine 개발
• 사내 자체 언어 개발
- Parser, Lexer 개발
- Type inference algorithm 구현
• Intel AMX 지원을 위한 intrinsic 구현
• 이 외 성능 최적화를 위한 각종 compiler technique 구현 및 연구
• MLIR 사용
• Optimizing ML/vision algorithm on DSP/NPU/AP
- Preprocessing procedure, deep learning kernel 및 각종 Vision 알고리즘을 DSP/NPU/AP 등에 최적화하여 지연 시간 및 사용 메모리를 최소화"
36,"사업체를 위해 고객 상담 맞춤 AI를 자동 생성해주는 B2B SaaS를 개발합니다.
https://docenty.ai 를 2023년 12월 출시했습니다.
국내 최고 수준 성장 속도
•

모든 직군 채용합니다.
Frontend engineer
Product owner
Marketing, Sales
Designer
Backend engineer
..."
37,"• LLM post training을 위한 데이터 수집 및 정제
• LLM Post train 방법론 연구 및 개발
• LLM serving 환경 구축 및 실험
• Generative AI 신규 기술 Research"
38,"• 비구조 데이터 문서 처리 솔루션 내 신규 모델 개발
• OCR 및 CV, NLP 등 기 개발 모델 유지 보수 및 고도화
• Document AI 관련 신규 기술 research"
39,"1. 물류 및 공장자동화 각 사이트에서 필요한 학습 데이터 생성 기법 연구 개발
2. 배포된 AI 모델 성능 유지를 위한 평가 및 추가 학습 등을 위한 데이터 생성 기법 연구 개발
3. 모델 학습 배포 유지관리 lifecycle 연구개발( AIops , Active learning, lifelong learning, etc ) 협업
4. 그 외, Stable Diffusion과 같은 생성형 모델을 목적에 맞게 연구 개발 및 서비스"
40,"1. 객체 검출을 위한 2D/3D Detection
2. 비전 검사를 위한 학습 기반의 불량 검출 기법 또는 Anomaly Detection"
41,"• Stable Diffusion 모델 기반의 이미지 생성형 AI 시스템 개발 및 최적화
• B2B 엔터프라이즈를 대상으로 한 모델 파인튜닝, 커스터마이징
• AI 모델의 성능 분석 및 개선
• 최신 AI 기술 연구 및 빠른 적용"
42,"• 실제 유저들의 행동 모델과 제품 분석을 위한 머신러닝, 데이터 마이닝 알고리즘 개발
• 유저 이벤트 시계열 데이터, 정제되지 않은 텍스트 데이터, 서로 상이한 데이터 셋을 활용한 패턴 분석 알고리즘 개발
• AWS 클라우드의 분산 처리 시스템을 활용한 자동화 시스템 개발
• 다양한 엔지니어링 팀과의 협업을 통한 서비스 개발"
43,"- Quantization, Pruning 등 딥러닝 모델 경량화 연구 및 적용
- HW 최적화를 고려한 딥러닝 모델 아키텍쳐 설계 및 학습
- 딥러닝 최신 연구 동향 분석"
44,"- 딥러닝 네트워크 모델을 모빌린트 NPU에서 수행할 수 있는 언어로 변환하는 Backend Compiler 개발
- 학습된 딥러닝 모델을 최적화를 통해 모빌린트 NPU 상에서 추론 속도를 향상시켜 딥러닝 서비스 개선에 도움을 주는 모델 최적화 엔진 개발
- 딥러닝 네트워크 모델 연산 최적화를 위한 Simulator 등 검증용 프로그램 개발"
45,"• 새로운 머신러닝 및 딥러닝 알고리즘을 연구 및 개발합니다.
• Open Source 기반의 SOTA 모델을 플랫폼에 적용하고 성능을 높입니다.
• 자체 플랫폼 데이터를 기반으로 knowledge tracing, code generation, copy detection 등의 알고리즘을 개발 및 플랫폼에 적용합니다.
• LLM 및 SLM 기반의 특정한 지식이나 태스크에 최적화된 dialogue systems를 개발합니다.
• AI와 사람 간의 자연스러운 통합을 위한 HCI 연구를 수행합니다.
• MLOps 및 AutoML을 활용하여 production 환경에서 AI 모델의 성능 최적화 및 서비스에 효과적으로 통합하는 작업을 수행합니다."
46,"• AI 모델 개발 및 연구 (딥러닝, 머신러닝, 자연어 처리 등)
• 데이터 분석 및 처리, 모델 학습을 위한 데이터 파이프라인 구축
• AI 솔루션 최적화 및 배포
• AI 관련 신기술 탐구 및 적용
• 협업을 통한 혁신적 AI 서비스 개발"
47,"• 3차원 공간데이터 수집기 개발 (LiDAR/Radar/Camera)
• 딥러닝 기반 3차원 데이터 모델링 (3D Object Detection/Semantic Segmentation/Depth Completion/Depth Estimation/SLAM etc.)
• 실 산업현장에서의 인공지능 기반 자동화 솔루션 개발"
48,"- 자율주행 차량을 위한 측위 (localization) 및 지도제작 (mapping) 알고리즘 개발
- 측위와 지도제작 알고리즘 개발 이전에 필요한 calibration과 같은 센서 시스템 관련 개발
- DevOps, Perception, Planning 등 다른 분야의 엔지니어들과의 협업"
49,"• 주어진 비즈니스 문제를 가장 효과적으로 해결할 수 있는 AI 기술을 탐색합니다.
• 최신 ML/DL 기술을 follow-up 하고 우리 팀의 문제해결에 도움을 줄 수 있는지 검토합니다.
• 개발한 ML/DL 모델을 학습하고 정확하게 평가합니다.
• Data Engineer, SW Engineer와 협업하여 모델을 배포하고 평가합니다."
50,"• 오픈 소스 AI 모델을 활용한 고객 가치 창출
• AI 배포 및 모니터링 (Docker, Kubernetes 등 활용)
• 협동지능 (AI Agent Collaborative Intelligence) 활용"
51,"클럼엘의 신입 데이터 소프트웨어 엔지니어는 시니어가 디자인한 모듈의 일부를 구현하게 됩니다. GitHub의 issue로 구현할 작업이 기술되어 있고, 이 issue가 여러분에게 할당됩니다. 시니어나 혹은 동료들과 소통을 통해서 궁금한 사항을 확인하고 나면 코드를 만듭니다. 코드 작성 완료 후 시니어나 동료들이 코드를 리뷰하고 의견을 줍니다. 이 과정을 반복하는 과정에서 해당 모듈 책임자가 적절한 시점에 코드를 승인합니다. 작성된 코드가 원하는 데이터 분석 결과를 내는지 검증 과정이 매우 중요합니다. 회사가 사용하는 데이터를 기본으로 하고, 필요 시 추가 데이터를 확보합니다. 이 과정은 지원 부서의 도움을 받게 됩니다. 데이터를 작성 코드로 분석한 결과가 적절한지 다양한 데이터 분석 기법을 활용하여 판단합니다. 결과에 따라 추가적인 코드 수정 의견을 제시한다면 더욱 좋습니다.


데이터 소프트웨어 엔지니어의 업무 목록입니다.

[머신러닝 알고리즘 구현]
• 클럼엘이 자체 개발한 하기 알고리즘의 고도화
- 패턴 인식 클러스터링
- 계층 클러스터링
- 시계열 클러스터링
- DBSCAN
- OPTICS

• 새로운 알고리즘 구현


[비지도학습 기반 위협 탐지 모델 개발]
• 네트워크 데이터 기반 (NDR)
- 클럼엘이 구현한 알고리즘을 바탕으로 비정상 행위 탐지 모델링

• 단말 데이터 기반 (EDR)
- 단말 데이터를 활용하여 비정상 행위 탐지 모델링

• 네트워크와 단말 데이터 동시 기반 (XDR)
- 네트워크 및 단말 데이터를 동시에 활용하여 비정상이나 위협 탐지 모델링


[준지도학습 기반 위협 탐지 모델 개발]
• 딥러닝 등 지도학습 활용하여 위협 유형별 탐지 모델링

• 지도학습과 비지도학습을 동시 또는 순차적으로 활용하여 위협 유형별 탐지 모델링


[위협 탐지 외의 도메인에서 데이터 분석 모델링]
• 정보유출 모델링

• 네트워크 및 시스템 장애 또는 비정상 예측 모델링



[클럼엘의 채용 절차]
서류심사 - 코딩 테스트 - 1차 인터뷰(직무 적합성) - 2차 인터뷰(조직 적합성) - 합류!

• 서류심사
- 지원서 검토 후 일주일 이내 전화/이메일로 결과 안내 연락을 드립니다.
- 서류합격 이후, 1차 인터뷰 전 사전 인터뷰가 있을 수 있습니다.

• 코딩 테스트(사전 과제)
- 코딩 테스트(사전 과제)가 필요한 경우, 코딩 테스트(사전 과제)를 진행합니다.
- 코딩 테스트는 Google Meet를 통해 라이브로 진행됩니다.
- 사전과제는 직무별로 과제를 메일로 송부드릴 예정입니다.
- 코딩 테스트(사전 과제)를 진행하지 않는 경우에는 1차 인터뷰가 진행됩니다.
- 코딩 테스트 이후 전화/이메일로 결과 안내 연락을 드립니다.

• 1차 인터뷰(직무 적합성)
- 포지션 및 상황에 따라 1대 1 혹은 다대 1 면접이 진행됩니다.
- 인터뷰는 대면 혹은 비대면으로 진행되며, 지원 포지션의 실무진과 진행됩니다.
- 대면으로 진행되는 경우, 대표 인터뷰까지 하루에 같이 진행됩니다.
- 비대면으로 진행되는 경우, Google Meet를 통해 진행되며, 링크가 포함된 초대장을 별도로 송부드릴 예정입니다.
- 인터뷰 이후 이메일로 결과를 안내 드립니다.

• 2차 인터뷰(조직 적합성)
- 포지션 및 상황에 따라 1대 1 혹은 다대 1 면접이 진행됩니다.
- 인터뷰는 사무실 방문을 통해 대면으로 진행되며, 임원 혹은 대표이사와 진행됩니다.
- 다만, 부득이한 경우 Google Meet를 통해 비대면으로 진행됩니다.
- 최종 합격 결과는 인터뷰 이후 전화 혹은 이메일로 안내 드립니다.

[제출서류]
이력서(필수), 자기소개서(선택), 포트폴리오(선택)"
52,"[Snapshot]
Research scientists of the BRAIN (Brain Research & AI for Neuroimaging) team study, as expected, how artificial intelligence can resolve unmet needs in neuroimaging analysis at clinical setting. We are also interested in using our solution to understand the mechanism of neurodegenerative diseases better.

[About us]
• VUNO BRAIN (Brain Research and AI for Neuroimaging) team is a group of enthusiastic, proficient, and warm-hearted AI Researchers. Our mission is to develop AI-supported quantitative MRI workflow to support diagnosis, prognosis, and monitoring of neurological disorders, especially Alzheimer’s disease and related dementia.
• We use our technologies and experience for proactive impatient care. We encourage an open and friendly atmosphere to share one’s research interests and innovative thoughts. Also, you may participate in active collaboration opportunities with fellow researchers in VUNO as well as medical doctors in South Korea / Worldwide.

[About the Role]
Research Scientists at VUNO lead our efforts in developing novel algorithmic architecture towards the end goal of solving unmet needs in various clinical practices.

[Key Responsibilities]
• Develop and validate innovative AI algorithms for the analysis and interpretation of various neurological biomarkers, including brain MRI, PET, and clinical data.
• Conduct explanatory data analysis to create data-centric AI algorithms focused on diagnosing neurodegenerative disorders.
• Collaborate with product management and software engineering teams to build, optimize, deploy, and maintain AI pipelines.
• Present research findings and developments verbally and in writing at top-tier ML conferences, clinical journals, and/or conferences.
• Collaborate with medical doctors and other researchers to translate research achievements into practical applications for the medical field, especially in neurology, neuroradiology, and psychiatry.
• Keep updated with the latest medical imaging research trends and share knowledge with the team."
53,"• 머신러닝 연구개발
• Computer vision applications
• NLP/LLM applications"
54,"- On-device AI를 위한 AI Task 개발
- On-device AI Framework (ZETIC.MLange) 개발
- AI application을 위한 pipeline 구축"
55,"• 의료용 내시경 영상 분석을 위한 딥러닝 모델 설계 및 개발
• 전동식 내시경 자율제어를 위한 딥러닝 모델 설계 및 개발"
56,"• 비침습 혈당측정을 위한 딥러닝 알고리즘 개발
• 센서 신호 데이터의 전처리"
57,"- AI NPU/GPU 최적화 개발
- AI Model quantization/pruning tool 개발
- 사용 환경; Onnx runtime, Tensor RT, Tensorflow Lite, CUDA, C++ 등"
58,"• VISION 딥러닝/머신러닝 솔루션 연구 및 개발

• 이미지 분류 및 예측을 위한 딥러닝 모델 개발

• 기존 AI 고도화"
59,"• 인물 사진으로부터 얼굴과 헤어의 Detecting, Swapping, Processing
• 생성형 AI 기반 모델 개발 및 개선
• 다양한 Filter 및 보정 기술 개발"
60,"[모집분야] 
• AI Speech Processing 연구 및 개발
• 사내 대형 음성 데이트를 활용하여 국내 다양한 수준의 초/중/고/성인의 음성 데이터를 기반으로 자체 AI 음성 인식 모델을 개발
• 특히 세타원은 Eng/Korean Multilingual Code-Switching, 즉 한/영을 섞어서 발화하는 음성의 높은 인식률을 자랑하고 있고 이를 위한 독보적인 데이터 양을 확보하였으며, 해당 문제를 해결하는 엔지니어링 전략 모색

[주요업무] 
• AI 음성 처리 인공지능 알고리즘 개발 및 최적화 업무를 담당합니다.
• 대형 음성 데이터의 수집, 전처리 및 분석을 수행합니다.
• AI 음성 처리 인공지능 모델의 성능을 평가하고 개선합니다.
• 기술 문서 작성 및 관련 부서와의 협업을 진행합니다."
61,"• LLM Post-training을 위한 데이터 수집 및 정제
• LLM Post-training 방법론 연구 및 개발
• LLM 제품화를 위한 개발"
62,"• 딥러닝 기반의 컴퓨터 비전(영상인식기술) Project 개발 진행 및 Operation
• Object Detection·Semantic Segmentation 활용 개발(e.g. YOLO v4·v5)
• Image Segmentation 및 Object Detection Neural Network 최적화 및 학습(Training)"
63,"• 자율주행 차량을 위한 측위 (localization) 및 지도제작 (mapping) 알고리즘 개발
• 측위와 지도제작 알고리즘 개발 이전에 필요한 calibration과 같은 센서 시스템 관련 개발
• DevOps, Perception, Planning 등 다른 분야의 엔지니어들과의 협업"
64,"• AI 팀, 제품 개발팀 및 외부 연구 기관과 협력하여 최신 머신러닝 모델을 개발하고, 모델 학습 및 성능 평가를 담당합니다.
• 반도체 전문가들과 긴밀히 협력하여 혁신적인 단위공정 모델링 도구를 개발하고, 현장의 피드백을 적극 반영합니다.
• 단위공정 모델링은 아직 AI 도입이 활발하지 않은 분야입니다. 모델링 목표 수립부터 설계, 개발까지 전 과정을 주도적으로 이끌면서 새로운 영역을 개척해 나갈 수 있는 좋은 기회입니다."
65,"• DocumentAI Vision 모델 연구 및 개발
• 고객의 문제를 이해하고, 그를 가장 효과적으로 해결하기 위한 가설 제시 및 검증을 수행
• 제품의 요구 사항을 이해하고 이를 개발 목표 및 연구 과제로 변환
• 모델 성능에 대한 객관적인 메트릭 정의 및 측정"
66,"디지털 헬스케어 디바이스로부터 얻어지는 생체신호를 분석하여 질병과 관련된 디지털 바이오마커를 분석하는 일을 합니다. 
골격근의 상태를 진단 모니터링하는 측정 기술을 개발하며, 다양한 근육의 비선형 생체 신호를 학습알고리즘을 활용하여 정량적 지표를 개발을 수행합니다. 
골격근 고유의 특성을 비침습적으로 진단하는 최초의 기술을 개발하여 건강관리의 새로운 패러다임을 만들어갑니다. 
세계로 나아갈 수 있는 기술을 개발한는 핵심 인력 중 하나로서 회사의 미래를 함께 그려나가실 분을 찾습니다.

• 근골격계 건강관리를 위한 생체신호 데이터 분석
• 생체신호 기반의 정량적 / 질적 평가 알고리즘 및 예측 알고리즘 개발
• 사용자 데이터 기반의 Key Index 및 측정해야 하는 DB 요구사항 도출"
67,"• AI 팀, 제품 개발팀 및 외부 연구 기관과 협력하여 최신 머신러닝 모델을 개발하고, 모델 학습 및 성능 평가를 담당합니다.
• 반도체 전문가들과 긴밀히 협력하여 혁신적인 단위공정 모델링 도구를 개발하고, 현장의 피드백을 적극 반영합니다.
• 단위공정 모델링은 아직 AI 도입이 활발하지 않은 분야입니다. 모델링 목표 수립부터 설계, 개발까지 전 과정을 주도적으로 이끌면서 새로운 영역을 개척해 나갈 수 있는 좋은 기회입니다."
68,"ㆍ이미지 프로세싱 알고리즘 연구/ 개발
ㆍ인공신경망 프레임워크 연구/ 개발
ㆍ알고리즘 최적화"
69,"• 업스테이지 기술 기반 맞춤형 교육 콘텐츠 개발
• 교육 과정 설계 및 데이터 기반 개선
• 교육 수강생 및 강의자 지원 자료 관리
• 사내외 교육 세션, 워크숍, 컨퍼런스 등을 통한 교육 콘텐츠 확산
• 내외부 SME와 협업을 통한 교육 콘텐츠 품질 강화"
70,"• 의료영상 분석 및 진단 인공지능(AI) 모델 연구, 개발
• 성능 업데이트, 모델 최적화"
